predictor,measure_label,measure_type,outcome,estimate,std_error,ci_low,ci_high,pvalue,n,significant_5pct
log_num_unique_paths_non_causal,Log N. Unique Paths,Non-Causal,In Top 5,-0.010497314707419696,0.002873717081576004,-0.016129800187308665,-0.004864829227530729,0.000259724687709685,33218,True
log_num_unique_paths_non_causal,Log N. Unique Paths,Non-Causal,In Top 6-20,-0.004168855432300159,0.002561324004532387,-0.009189050481183637,0.0008513396165833187,0.10361554008968742,33218,False
log_num_unique_paths_non_causal,Log N. Unique Paths,Non-Causal,In Top 21-100,-0.005399499598350737,0.003315447187689363,-0.01189777608622189,0.001098776889520414,0.10340962717071592,33218,False
log_num_unique_paths_non_causal,Log N. Unique Paths,Non-Causal,Citations,-0.012390830001185633,0.01173416032713045,-0.03538978424236132,0.010608124239990049,0.29099316437772504,33218,False
log_num_unique_paths_causal,Log N. Unique Paths,Causal,In Top 5,0.01926597025167923,0.0033467442526021224,0.012706351516579069,0.02582558898677939,8.65646514269018e-09,33218,True
log_num_unique_paths_causal,Log N. Unique Paths,Causal,In Top 6-20,0.01387658038256641,0.0029829656546985243,0.008029967699357304,0.019723193065775517,3.3009282254037427e-06,33218,True
log_num_unique_paths_causal,Log N. Unique Paths,Causal,In Top 21-100,0.013786273598328708,0.003861749183139763,0.006217245199374772,0.021355301997282645,0.00035754575025805107,33218,True
log_num_unique_paths_causal,Log N. Unique Paths,Causal,Citations,0.1551776510185836,0.013643388570121338,0.1284366094211458,0.18191869261602142,6.414200376698373e-30,33218,True
log_longest_path_length_non_causal,Log Longest Path,Non-Causal,In Top 5,-0.018739042244394297,0.00542395260283502,-0.029369989345950934,-0.00810809514283766,0.0005512495056197608,33218,True
log_longest_path_length_non_causal,Log Longest Path,Non-Causal,In Top 6-20,-0.00755999249714576,0.0048342434824520915,-0.017035109722751858,0.0019151247284603396,0.11786424008323794,33218,False
log_longest_path_length_non_causal,Log Longest Path,Non-Causal,In Top 21-100,-0.0111487755322944,0.006257507323455342,-0.023413489886266868,0.0011159388216780714,0.07481318526773854,33218,False
log_longest_path_length_non_causal,Log Longest Path,Non-Causal,Citations,-0.08042063653607404,0.022142959607865206,-0.12382083736748983,-0.03702043570465823,0.00028178452249089884,33218,True
log_longest_path_length_causal,Log Longest Path,Causal,In Top 5,0.03234054321317819,0.005507536041537538,0.021545772571764616,0.04313531385459177,4.345250987679474e-09,33218,True
log_longest_path_length_causal,Log Longest Path,Causal,In Top 6-20,0.022816220601410957,0.004908989461725079,0.013194601256429803,0.032437839946392114,3.3671009729762843e-06,33218,True
log_longest_path_length_causal,Log Longest Path,Causal,In Top 21-100,0.023007478791642846,0.006355142497985655,0.010551399495590964,0.03546355808769473,0.00029470733355777305,33218,True
log_longest_path_length_causal,Log Longest Path,Causal,Citations,0.24024564877597063,0.022457590395538202,0.19622877160071575,0.2842625259512255,1.1526942339816159e-26,33218,True
prop_novel_unique_paths_non_causal,Prop. Novel Unique Paths,Non-Causal,In Top 5,-0.006191393865776689,0.004489263982208431,-0.014990351270905214,0.002607563539351837,0.16785606003144063,33218,False
prop_novel_unique_paths_non_causal,Prop. Novel Unique Paths,Non-Causal,In Top 6-20,-0.012472783048807029,0.004000133622091243,-0.020313044948105864,-0.004632521149508195,0.0018218185938031078,33218,True
prop_novel_unique_paths_non_causal,Prop. Novel Unique Paths,Non-Causal,In Top 21-100,-0.012222109639964103,0.005178205479850942,-0.02237139238047195,-0.002072826899456256,0.018265998295131553,33218,True
prop_novel_unique_paths_non_causal,Prop. Novel Unique Paths,Non-Causal,Citations,-0.2894504647189678,0.018258999871299895,-0.3252381044667156,-0.25366282497122,2.177911909665915e-56,33218,True
prop_novel_unique_paths_causal,Prop. Novel Unique Paths,Causal,In Top 5,0.029803315466729836,0.005078197516681696,0.019850048334033712,0.03975658259942596,4.429216074156999e-09,33218,True
prop_novel_unique_paths_causal,Prop. Novel Unique Paths,Causal,In Top 6-20,0.016454993877174015,0.004526879964480124,0.007582309146792971,0.02532767860755506,0.00027845185049186116,33218,True
prop_novel_unique_paths_causal,Prop. Novel Unique Paths,Causal,In Top 21-100,0.018007503570665006,0.005860049180230106,0.006521807177413998,0.029493199963916014,0.002121421045373279,33218,True
prop_novel_unique_paths_causal,Prop. Novel Unique Paths,Causal,Citations,0.12336929602440051,0.02073152485649421,0.08273550730567186,0.16400308474312916,2.6949768230449466e-09,33218,True
gap_filling_proportion_non_causal,Gap Filling,Non-Causal,In Top 5,0.002080452092729672,0.009961987983714851,-0.017445044355351436,0.021605948540810778,0.8345751690998323,33218,False
gap_filling_proportion_non_causal,Gap Filling,Non-Causal,In Top 6-20,-0.011756828218114659,0.008877391054831629,-0.02915651468558465,0.005642858249355332,0.1853938843415315,33218,False
gap_filling_proportion_non_causal,Gap Filling,Non-Causal,In Top 21-100,-0.028753610681053282,0.011490355454913686,-0.05127470737268411,-0.006232513989422459,0.012339778512731178,33218,True
gap_filling_proportion_non_causal,Gap Filling,Non-Causal,Citations,-0.19229158567975935,0.040656306714010784,-0.2719779468392205,-0.11260522452029821,2.2579076404315876e-06,33218,True
gap_filling_proportion_causal,Gap Filling,Causal,In Top 5,0.03709499956309161,0.008830000836609887,0.019788197923336234,0.05440180120284699,2.6641013850039162e-05,33218,True
gap_filling_proportion_causal,Gap Filling,Causal,In Top 6-20,0.016324074492674458,0.007870432576695244,0.0008980266423517808,0.031750122342997136,0.038077597524631655,33218,True
gap_filling_proportion_causal,Gap Filling,Causal,In Top 21-100,0.026915497578554555,0.010187290468321902,0.006948408260643628,0.04688258689646548,0.008244056596136353,33218,True
gap_filling_proportion_causal,Gap Filling,Causal,Citations,0.1574793251831092,0.03604784764311338,0.08682554380260697,0.2281331065636114,1.2541337832076195e-05,33218,True
var_eigen_centrality_non_causal_std,Topic Diversity,Non-Causal,In Top 5,-0.0010911710907899861,0.0020782108303165426,-0.005164464318210409,0.0029821221366304372,0.599549769267046,33218,False
var_eigen_centrality_non_causal_std,Topic Diversity,Non-Causal,In Top 6-20,-0.001803640514276006,0.0018519776099481912,-0.005433516629774461,0.0018262356012224488,0.33011342298520074,33218,False
var_eigen_centrality_non_causal_std,Topic Diversity,Non-Causal,In Top 21-100,0.006298933162147991,0.0023970349342867293,0.0016007446909460012,0.01099712163334998,0.008597807223670062,33218,True
var_eigen_centrality_non_causal_std,Topic Diversity,Non-Causal,Citations,0.06615397159068917,0.008476588831709417,0.04953985748053871,0.08276808570083963,6.157534944592804e-15,33218,True
var_eigen_centrality_causal_std,Topic Diversity,Causal,In Top 5,-0.0015630395392087874,0.00358001979350275,-0.008579878334474177,0.005453799256056602,0.6624037168453881,33218,False
var_eigen_centrality_causal_std,Topic Diversity,Causal,In Top 6-20,0.00026818801604100396,0.0031903414083192696,-0.005984881144264764,0.006521257176346773,0.9330072615275131,33218,False
var_eigen_centrality_causal_std,Topic Diversity,Causal,In Top 21-100,0.004738442658342449,0.0041295830547294025,-0.0033555401289271803,0.012832425445612078,0.2512087039450819,33218,False
var_eigen_centrality_causal_std,Topic Diversity,Causal,Citations,0.09394336646060687,0.01460643021331707,0.06531476324250542,0.12257196967870833,1.2794638657249039e-10,33218,True
mean_pagerank_non_causal_std,Topic Centrality (PageRank),Non-Causal,In Top 5,0.0031148647670804523,0.002032949886636476,-0.0008697170107270407,0.007099446544887945,0.12548517763731562,33218,False
mean_pagerank_non_causal_std,Topic Centrality (PageRank),Non-Causal,In Top 6-20,0.0031138788875356505,0.0018116455603341467,-0.00043694641071927685,0.006664704185790578,0.08565786219171716,33218,False
mean_pagerank_non_causal_std,Topic Centrality (PageRank),Non-Causal,In Top 21-100,0.008645642333317109,0.0023446672183344568,0.004050094585381574,0.013241190081252643,0.00022695002078501183,33218,True
mean_pagerank_non_causal_std,Topic Centrality (PageRank),Non-Causal,Citations,0.11474625652872855,0.008275903519549996,0.09852548563041055,0.13096702742704655,1.364249426997073e-43,33218,True
mean_pagerank_causal_std,Topic Centrality (PageRank),Causal,In Top 5,-0.005059162656207851,0.0035012424070688768,-0.01192159777406285,0.0018032724616471475,0.14847796996426363,33218,False
mean_pagerank_causal_std,Topic Centrality (PageRank),Causal,In Top 6-20,0.00047495928661343346,0.0031202272481578516,-0.005640686119775956,0.006590604693002823,0.8790147766644321,33218,False
mean_pagerank_causal_std,Topic Centrality (PageRank),Causal,In Top 21-100,0.00026603882521444074,0.004038908027879271,-0.00765022090942893,0.00818229855985781,0.9474825197749153,33218,False
mean_pagerank_causal_std,Topic Centrality (PageRank),Causal,Citations,0.05485142612923134,0.014291158572018594,0.026840755328074898,0.08286209693038779,0.0001242010519699686,33218,True
